game,date,num_1,num_X,num_2,link
Leicester City - West Bromwich Albion,2026-01-05T20:00:00Z,2.5,3.49,2.76,https://www.pinnacle.com/en/soccer/leagues/1977
Blackburn Rovers - Charlton Athletic,2026-01-04T15:00:00Z,2.11,3.2,3.79,https://www.pinnacle.com/en/soccer/leagues/1977
Birmingham City - Coventry City,2026-01-04T12:00:00Z,2.61,3.44,2.67,https://www.pinnacle.com/en/soccer/leagues/1977
Queens Park Rangers - Sheffield Wednesday,2026-01-04T12:00:00Z,1.42,4.69,7.08,https://www.pinnacle.com/en/soccer/leagues/1977
Derby County - Wrexham,2026-01-04T15:00:00Z,2.36,3.2,3.2,https://www.pinnacle.com/en/soccer/leagues/1977
Norwich City - Stoke City,2026-01-04T15:00:00Z,2.16,3.55,3.27,https://www.pinnacle.com/en/soccer/leagues/1977
Bristol City - Preston North End,2026-01-04T15:00:00Z,1.88,3.66,4.06,https://www.pinnacle.com/en/soccer/leagues/1977
Hull City - Watford,2026-01-04T15:00:00Z,2.83,3.3,2.55,https://www.pinnacle.com/en/soccer/leagues/1977
Middlesbrough - Southampton,2026-01-04T15:00:00Z,2.14,3.75,3.15,https://www.pinnacle.com/en/soccer/leagues/1977
Portsmouth - Ipswich Town,2026-01-04T15:00:00Z,5.13,3.76,1.68,https://www.pinnacle.com/en/soccer/leagues/1977
Sheffield United - Oxford United,2026-01-04T12:00:00Z,1.45,4.55,6.72,https://www.pinnacle.com/en/soccer/leagues/1977
Millwall - Swansea City,2026-01-04T15:00:00Z,2.16,3.25,3.57,https://www.pinnacle.com/en/soccer/leagues/1977
Uniao Paredes - Sanjoanense,2026-01-04T17:30:00Z,1.72,3.41,5.07,https://www.pinnacle.com/en/soccer/leagues/215023
Lusitano GC - Sporting Covilha,2026-01-04T15:00:00Z,1.69,3.55,5.03,https://www.pinnacle.com/en/soccer/leagues/215023
Os Belenenses - Amora,2026-01-03T15:00:00Z,1.67,3.62,5.08,https://www.pinnacle.com/en/soccer/leagues/215023
Atletico CP - Academica,2026-01-04T15:00:00Z,2.66,3.14,2.69,https://www.pinnacle.com/en/soccer/leagues/215023
Sao Joao de Ver - Amarante,2026-01-04T15:00:00Z,2.38,3.19,3.02,https://www.pinnacle.com/en/soccer/leagues/215023
Santarem - 1 Dezembro,2026-01-04T11:00:00Z,1.98,3.07,4.22,https://www.pinnacle.com/en/soccer/leagues/215023
Braga II - AD Marco 09,2026-01-04T11:00:00Z,2.42,2.85,3.32,https://www.pinnacle.com/en/soccer/leagues/215023
Fafe - Varzim,2026-01-04T15:00:00Z,2.35,3.21,3.04,https://www.pinnacle.com/en/soccer/leagues/215023
Trofense - Vitoria Guimaraes II,2026-01-04T11:00:00Z,1.87,3.34,4.27,https://www.pinnacle.com/en/soccer/leagues/215023
Mafra - Caldas,2026-01-03T17:30:00Z,1.9,3.32,4.16,https://www.pinnacle.com/en/soccer/leagues/215023
Bastia - Grenoble,2026-01-03T19:00:00Z,2.16,3.21,3.57,https://www.pinnacle.com/en/soccer/leagues/2037
Le Mans - Saint-Etienne,2026-01-03T19:00:00Z,2.94,3.45,2.36,https://www.pinnacle.com/en/soccer/leagues/2037
Pau FC - Rodez,2026-01-03T19:00:00Z,2.19,3.5,3.2,https://www.pinnacle.com/en/soccer/leagues/2037
Amiens - Nancy,2026-01-03T19:00:00Z,3.85,3.33,2.01,https://www.pinnacle.com/en/soccer/leagues/2037
Troyes - Red Star,2026-01-03T13:00:00Z,1.89,3.23,4.79,https://www.pinnacle.com/en/soccer/leagues/2037
Clermont - Stade Lavallois,2026-01-03T19:00:00Z,2.68,3.0,2.88,https://www.pinnacle.com/en/soccer/leagues/2037
Reims - Annecy,2026-01-03T19:00:00Z,1.79,3.55,4.56,https://www.pinnacle.com/en/soccer/leagues/2037
Montpellier - Dunkerque,2026-01-05T19:45:00Z,2.34,3.21,3.16,https://www.pinnacle.com/en/soccer/leagues/2037
Guingamp - Boulogne,2026-01-03T19:00:00Z,1.92,3.49,3.99,https://www.pinnacle.com/en/soccer/leagues/2037
Bournemouth - Tottenham Hotspur,2026-01-07T19:30:00Z,2.01,3.86,3.39,https://www.pinnacle.com/en/soccer/leagues/1980
Newcastle United - Leeds United,2026-01-07T20:15:00Z,1.7,3.73,5.02,https://www.pinnacle.com/en/soccer/leagues/1980
Everton - Wolverhampton,2026-01-07T19:30:00Z,1.7,3.65,5.15,https://www.pinnacle.com/en/soccer/leagues/1980
Newcastle United - Crystal Palace,2026-01-04T15:00:00Z,1.71,4.04,4.86,https://www.pinnacle.com/en/soccer/leagues/1980
Burnley - Manchester United,2026-01-07T20:15:00Z,4.56,3.88,1.74,https://www.pinnacle.com/en/soccer/leagues/1980
Brentford - Sunderland,2026-01-07T19:30:00Z,1.88,3.44,4.36,https://www.pinnacle.com/en/soccer/leagues/1980
Arsenal - Liverpool,2026-01-08T20:00:00Z,1.62,4.21,5.03,https://www.pinnacle.com/en/soccer/leagues/1980
West Ham United - Nottingham Forest,2026-01-06T20:00:00Z,2.97,3.44,2.37,https://www.pinnacle.com/en/soccer/leagues/1980
Fulham - Chelsea,2026-01-07T19:30:00Z,3.42,3.55,2.1,https://www.pinnacle.com/en/soccer/leagues/1980
Leeds United - Manchester United,2026-01-04T12:30:00Z,2.71,3.57,2.61,https://www.pinnacle.com/en/soccer/leagues/1980
Manchester City - Chelsea,2026-01-04T17:30:00Z,1.65,4.66,4.64,https://www.pinnacle.com/en/soccer/leagues/1980
Wolverhampton - West Ham United,2026-01-03T15:00:00Z,2.53,3.44,2.88,https://www.pinnacle.com/en/soccer/leagues/1980
Aston Villa - Nottingham Forest,2026-01-03T12:30:00Z,1.8,3.74,4.68,https://www.pinnacle.com/en/soccer/leagues/1980
Bournemouth - Arsenal,2026-01-03T17:30:00Z,6.15,5.03,1.48,https://www.pinnacle.com/en/soccer/leagues/1980
Everton - Brentford,2026-01-04T15:00:00Z,2.45,3.16,3.24,https://www.pinnacle.com/en/soccer/leagues/1980
Crystal Palace - Aston Villa,2026-01-07T19:30:00Z,2.59,3.44,2.68,https://www.pinnacle.com/en/soccer/leagues/1980
Brighton - Burnley,2026-01-03T15:00:00Z,1.48,4.64,6.73,https://www.pinnacle.com/en/soccer/leagues/1980
Manchester City - Brighton,2026-01-07T19:30:00Z,1.39,5.35,6.69,https://www.pinnacle.com/en/soccer/leagues/1980
Tottenham Hotspur - Sunderland,2026-01-04T15:00:00Z,1.83,3.85,4.39,https://www.pinnacle.com/en/soccer/leagues/1980
Fulham - Liverpool,2026-01-04T15:00:00Z,3.75,3.84,1.97,https://www.pinnacle.com/en/soccer/leagues/1980
Darlington - Macclesfield,2026-01-03T15:00:00Z,2.51,3.64,2.47,https://www.pinnacle.com/en/soccer/leagues/1951
