game,date,num_1,num_X,num_2,link
Pendikspor - Esenler Erokspor,2025-12-27T16:00:00Z,2.0,3.58,3.47,https://www.pinnacle.com/en/soccer/leagues/2578
Amed Sportif Faliyetler - Igdir Belediyespor,2025-12-28T16:00:00Z,1.93,3.69,3.56,https://www.pinnacle.com/en/soccer/leagues/2578
Erzurumspor - Corum Belediyespor,2025-12-28T13:00:00Z,2.27,3.27,3.13,https://www.pinnacle.com/en/soccer/leagues/2578
Sakaryaspor - Manisa FK,2025-12-26T17:00:00Z,2.16,3.82,2.92,https://www.pinnacle.com/en/soccer/leagues/2578
Keciorengucu - Umraniyespor,2025-12-28T10:30:00Z,1.31,5.02,8.61,https://www.pinnacle.com/en/soccer/leagues/2578
Sivasspor - Bandirmaspor,2025-12-27T10:30:00Z,2.23,3.36,3.13,https://www.pinnacle.com/en/soccer/leagues/2578
Sariyer - Bodrumspor,2025-12-27T10:30:00Z,3.45,3.42,2.06,https://www.pinnacle.com/en/soccer/leagues/2578
Serik Belediyespor - Boluspor,2025-12-28T10:30:00Z,6.66,4.66,1.41,https://www.pinnacle.com/en/soccer/leagues/2578
Vanspor - Hatayspor,2025-12-27T13:00:00Z,1.14,7.98,13.0,https://www.pinnacle.com/en/soccer/leagues/2578
Toulouse - Nice,2026-01-17T18:00:00Z,1.87,3.68,4.06,https://www.pinnacle.com/en/soccer/leagues/2036
Le Havre - Angers,2026-01-04T16:15:00Z,2.05,3.36,3.77,https://www.pinnacle.com/en/soccer/leagues/2036
Toulouse - Lens,2026-01-02T19:45:00Z,2.81,3.42,2.5,https://www.pinnacle.com/en/soccer/leagues/2036
Angers - Marseille,2026-01-17T20:05:00Z,5.5,4.15,1.58,https://www.pinnacle.com/en/soccer/leagues/2036
Lens - Auxerre,2026-01-17T16:00:00Z,1.47,4.28,7.0,https://www.pinnacle.com/en/soccer/leagues/2036
Paris Saint-Germain - Lille,2026-01-16T20:00:00Z,1.49,4.6,6.02,https://www.pinnacle.com/en/soccer/leagues/2036
Rennes - Le Havre,2026-01-18T16:15:00Z,1.62,4.04,5.21,https://www.pinnacle.com/en/soccer/leagues/2036
Brest - Auxerre,2026-01-04T16:15:00Z,1.95,3.25,4.31,https://www.pinnacle.com/en/soccer/leagues/2036
Lyon - Brest,2026-01-18T19:45:00Z,1.56,4.23,5.55,https://www.pinnacle.com/en/soccer/leagues/2036
Lorient - Metz,2026-01-04T16:15:00Z,1.75,3.86,4.49,https://www.pinnacle.com/en/soccer/leagues/2036
Nice - Strasbourg,2026-01-03T18:00:00Z,2.84,3.49,2.44,https://www.pinnacle.com/en/soccer/leagues/2036
Monaco - Lyon,2026-01-03T16:00:00Z,1.93,4.0,3.54,https://www.pinnacle.com/en/soccer/leagues/2036
Lille - Rennes,2026-01-03T20:05:00Z,1.88,3.54,4.2,https://www.pinnacle.com/en/soccer/leagues/2036
Marseille - Nantes,2026-01-04T14:00:00Z,1.22,6.59,10.73,https://www.pinnacle.com/en/soccer/leagues/2036
Strasbourg - Metz,2026-01-18T14:00:00Z,1.48,4.66,5.96,https://www.pinnacle.com/en/soccer/leagues/2036
Nantes - Paris FC,2026-01-18T16:15:00Z,3.61,3.31,2.12,https://www.pinnacle.com/en/soccer/leagues/2036
Paris Saint-Germain - Paris FC,2026-01-04T19:45:00Z,1.22,5.84,13.7,https://www.pinnacle.com/en/soccer/leagues/2036
Monaco - Lorient,2026-01-16T18:00:00Z,1.67,4.2,4.6,https://www.pinnacle.com/en/soccer/leagues/2036
NEC Nijmegen - FC Utrecht,2026-01-09T19:00:00Z,2.05,3.81,3.33,https://www.pinnacle.com/en/soccer/leagues/1928
PSV - Excelsior,2026-01-10T19:00:00Z,1.13,10.46,13.32,https://www.pinnacle.com/en/soccer/leagues/1928
AZ Alkmaar - Volendam,2026-01-10T15:30:00Z,1.22,6.9,10.18,https://www.pinnacle.com/en/soccer/leagues/1928
Heerenveen - Feyenoord,2026-01-11T11:15:00Z,2.84,3.89,2.27,https://www.pinnacle.com/en/soccer/leagues/1928
Sparta Rotterdam - Heracles Almelo,2026-01-11T15:45:00Z,1.8,3.77,4.29,https://www.pinnacle.com/en/soccer/leagues/1928
Go Ahead Eagles - Fortuna Sittard,2026-01-11T13:30:00Z,2.08,3.77,3.28,https://www.pinnacle.com/en/soccer/leagues/1928
Telstar - Ajax,2026-01-11T13:30:00Z,3.68,3.87,1.92,https://www.pinnacle.com/en/soccer/leagues/1928
FC Twente - PEC Zwolle,2026-01-10T17:45:00Z,1.26,6.04,9.69,https://www.pinnacle.com/en/soccer/leagues/1928
Groningen - NAC Breda,2026-01-10T20:00:00Z,1.62,3.85,5.56,https://www.pinnacle.com/en/soccer/leagues/1928
Toyo University - Kibi University,2025-12-26T02:00:00Z,1.03,10.83,20.58,https://www.pinnacle.com/en/soccer/leagues/223691
Dundee - Falkirk,2025-12-27T15:00:00Z,3.06,3.24,2.42,https://www.pinnacle.com/en/soccer/leagues/2421
Aberdeen - Dundee United,2025-12-27T17:45:00Z,1.84,3.76,4.1,https://www.pinnacle.com/en/soccer/leagues/2421
Hibernian - Hearts,2025-12-27T12:30:00Z,2.93,3.31,2.46,https://www.pinnacle.com/en/soccer/leagues/2421
Rangers - Motherwell,2025-12-27T15:00:00Z,1.79,3.64,4.55,https://www.pinnacle.com/en/soccer/leagues/2421
