game,date,num_1,num_X,num_2,link
Hatayspor - Amed Sportif Faliyetler,10:30,23.24,11.92,1.057,https://www.pinnacle.com/en/soccer/turkey-1st-league/matchups/
Igdir Belediyespor - Corum Belediyespor,13:00,2.69,3.09,2.83,https://www.pinnacle.com/en/soccer/turkey-1st-league/matchups/
Istanbulspor - Bodrumspor,13:00,3.09,3.91,2.12,https://www.pinnacle.com/en/soccer/turkey-1st-league/matchups/
Esenler Erokspor - Erzurumspor,16:00,2.14,3.31,3.57,https://www.pinnacle.com/en/soccer/turkey-1st-league/matchups/
Newcastle United - Sunderland,12:00,1.684,3.95,5.34,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Tottenham Hotspur - Nottingham Forest,14:15,2.49,3.36,3.04,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Aston Villa - West Ham United,14:15,1.763,3.89,4.77,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
West Ham United - Wolverhampton,20:00,1.757,3.88,4.4,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Arsenal - Bournemouth,12:30,1.307,5.44,9.2,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Burnley - Brighton,15:00,4.25,3.99,1.763,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Brentford - Everton,15:00,2.21,3.33,3.36,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Liverpool - Fulham,17:30,1.51,4.71,5.49,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Sunderland - Tottenham Hotspur,14:00,2.68,3.43,2.6,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Crystal Palace - Newcastle United,14:00,2.8,3.42,2.5,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Nottingham Forest - Aston Villa,14:00,2.58,3.31,2.78,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Chelsea - Manchester City,16:30,2.69,3.88,2.38,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Manchester United - Leeds United,20:00,1.561,4.34,5.4,https://www.pinnacle.com/en/soccer/england-premier-league/matchups/
Como - Pisa,11:30,1.247,6.16,13.66,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Bologna - Lazio,14:00,2.4,3.09,3.48,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Atalanta - Hellas Verona,14:00,1.414,4.73,8.51,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Roma - Lecce,17:00,1.492,4.14,8.11,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Fiorentina - Internazionale,19:45,5.36,4.12,1.653,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Sassuolo - Cagliari,14:00,1.961,2.98,4.85,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Lecce - Atalanta,14:00,4.62,3.74,1.751,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Hellas Verona - Fiorentina,17:00,4.07,3.42,1.943,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Lazio - Parma,19:45,1.813,3.37,4.87,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Cremonese - Bologna,14:00,4.04,3.57,1.909,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Pisa - Torino,17:00,2.82,3.2,2.61,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Udinese - Como,14:00,4.94,3.87,1.684,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Juventus - Genoa,17:00,1.411,4.41,8.17,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Napoli - AC Milan,19:45,2.71,2.97,2.92,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Internazionale - Roma,19:45,1.625,3.91,5.1,https://www.pinnacle.com/en/soccer/italy-serie-a/matchups/
Barcelona - Rayo Vallecano,13:00,1.232,7.21,11.46,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Celta Vigo - Alaves,15:15,1.943,3.3,4.74,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Athletic Bilbao - Real Betis,17:30,2.2,3.52,3.46,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Real Madrid - Atletico Madrid,20:00,1.869,4.09,4.0,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Rayo Vallecano - Elche,20:00,1.819,3.46,4.64,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Real Sociedad - Levante,13:00,1.523,4.36,5.86,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Mallorca - Real Madrid,15:15,5.19,4.31,1.584,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Real Betis - Espanyol,17:30,1.684,4.57,4.12,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Atletico Madrid - Barcelona,20:00,2.73,4.13,2.26,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Getafe - Athletic Bilbao,13:00,2.84,3.01,2.75,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Valencia - Celta Vigo,15:15,2.44,3.41,2.89,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Real Oviedo - Sevilla,17:30,2.68,3.36,2.64,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Alaves - Osasuna,20:00,2.69,2.97,2.94,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Girona - Villarreal,21:00,2.76,3.78,2.36,https://www.pinnacle.com/en/soccer/spain-la-liga/matchups/
Lyon - Monaco,14:00,2.88,3.58,2.49,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Rennes - Metz,16:15,1.336,5.62,9.2,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Marseille - Lille,16:15,1.917,3.77,4.11,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Paris FC - Le Havre,16:15,2.08,3.21,4.25,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Nantes - Strasbourg,19:45,3.85,3.7,2.0,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Paris Saint-Germain - Toulouse,19:45,1.283,5.67,9.85,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Strasbourg - Nice,16:00,1.84,3.56,4.38,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Brest - Rennes,18:00,3.05,3.62,2.24,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Lille - Lens,20:05,2.64,3.2,2.79,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Angers - Lyon,14:00,4.73,3.48,1.8,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Le Havre - Auxerre,16:15,2.44,3.11,3.15,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Metz - Nantes,16:15,2.81,3.29,2.57,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Lorient - Paris FC,16:15,2.37,3.17,3.21,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Monaco - Marseille,19:45,2.48,3.5,2.78,https://www.pinnacle.com/en/soccer/france-ligue-1/matchups/
Eastleigh - Sutton United,19:45,3.06,3.43,2.23,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Gateshead - York City,19:45,7.0,5.69,1.32,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Halifax Town - Carlisle United,19:45,2.62,3.61,2.45,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Aldershot Town - Boreham Wood,19:45,3.28,3.86,1.98,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Brackley Town - Braintree Town,19:45,1.757,4.3,3.71,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Boston United - Altrincham,19:45,1.943,3.55,3.68,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Truro City - Solihull Moors,19:45,3.12,3.57,2.15,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Morecambe - Hartlepool United,19:45,2.9,3.53,2.29,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Southend United - Woking,19:45,1.632,3.89,4.91,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Wealdstone - Yeovil Town,19:45,1.781,3.81,4.07,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Tamworth - Forest Green Rovers,19:45,3.2,4.0,1.98,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Scunthorpe United - Rochdale,19:45,3.6,3.54,1.97,https://www.pinnacle.com/en/soccer/england-national-league/matchups/
Oldham Athletic - Notts County,19:45,2.69,3.18,2.68,https://www.pinnacle.com/en/soccer/england-league-2/matchups/
Colchester United - Walsall,15:00,2.28,3.09,3.34,https://www.pinnacle.com/en/soccer/england-league-2/matchups/
Barrow - Bromley,15:00,3.17,3.36,2.23,https://www.pinnacle.com/en/soccer/england-league-2/matchups/
Newport County - Shrewsbury Town,15:00,2.71,3.2,2.63,https://www.pinnacle.com/en/soccer/england-league-2/matchups/
Barnet - Cambridge United,15:00,2.79,3.34,2.48,https://www.pinnacle.com/en/soccer/england-league-2/matchups/
Salford City - MK Dons,15:00,2.95,3.27,2.39,https://www.pinnacle.com/en/soccer/england-league-2/matchups/
Bristol Rovers - Accrington Stanley,15:00,1.781,3.53,4.47,https://www.pinnacle.com/en/soccer/england-league-2/matchups/
Crawley Town - Gillingham,15:00,2.41,3.36,2.87,https://www.pinnacle.com/en/soccer/england-league-2/matchups/
Swindon Town - Fleetwood Town,15:00,2.07,3.49,3.39,https://www.pinnacle.com/en/soccer/england-league-2/matchups/
Cavese - Foggia,11:30,1.649,3.71,5.32,https://www.pinnacle.com/en/soccer/italy-serie-c-group-c/matchups/
Trapani - Potenza,13:30,2.54,3.08,2.78,https://www.pinnacle.com/en/soccer/italy-serie-c-group-c/matchups/
Cosenza - Latina,13:30,1.97,2.92,4.4,https://www.pinnacle.com/en/soccer/italy-serie-c-group-c/matchups/
Sorrento - Crotone,13:30,4.35,3.32,1.826,https://www.pinnacle.com/en/soccer/italy-serie-c-group-c/matchups/
Siracusa - Picerno,13:30,2.21,2.5,4.44,https://www.pinnacle.com/en/soccer/italy-serie-c-group-c/matchups/
Salernitana - Team Altamura,19:30,1.529,3.63,6.47,https://www.pinnacle.com/en/soccer/italy-serie-c-group-c/matchups/
Catania - Casarano,19:30,1.289,5.31,8.94,https://www.pinnacle.com/en/soccer/italy-serie-c-group-c/matchups/
Monopoli - Benevento,19:30,4.71,2.96,1.892,https://www.pinnacle.com/en/soccer/italy-serie-c-group-c/matchups/
Chacarita Juniors - Atletico Rafaela,19:00,2.34,2.97,3.49,https://www.pinnacle.com/en/soccer/argentina-primera-b-nacional/matchups/
Patronato - Colegiales,19:00,1.97,2.96,4.84,https://www.pinnacle.com/en/soccer/argentina-primera-b-nacional/matchups/
Temperley - CA Atlanta,19:00,2.51,2.43,4.17,https://www.pinnacle.com/en/soccer/argentina-primera-b-nacional/matchups/
San Telmo - Colon de Santa Fe,19:00,2.9,2.84,2.83,https://www.pinnacle.com/en/soccer/argentina-primera-b-nacional/matchups/
Guemes - Agropecuario Argentino,20:00,2.35,2.91,3.55,https://www.pinnacle.com/en/soccer/argentina-primera-b-nacional/matchups/
Central Norte Salta - All Boys,20:00,2.8,2.79,3.0,https://www.pinnacle.com/en/soccer/argentina-primera-b-nacional/matchups/
Deportivo Maipu - Ferrocarril Midland,22:00,2.39,3.02,3.34,https://www.pinnacle.com/en/soccer/argentina-primera-b-nacional/matchups/
Nueva Chicago - Gimnasia y Tiro,19:00,3.73,2.6,2.42,https://www.pinnacle.com/en/soccer/argentina-primera-b-nacional/matchups/
Alianza FC - Deportivo Cali,21:00,2.83,3.06,2.72,https://www.pinnacle.com/en/soccer/colombia-primera-a/matchups/
Boyaca Chico - Deportes Tolima,19:00,4.8,3.19,1.833,https://www.pinnacle.com/en/soccer/colombia-primera-a/matchups/
Independiente Santa Fe - Independiente Medellin,21:10,2.21,3.15,3.39,https://www.pinnacle.com/en/soccer/colombia-primera-a/matchups/
Jaguares de Cordoba - Aguilas Doradas,23:20,3.05,2.81,2.64,https://www.pinnacle.com/en/soccer/colombia-primera-a/matchups/
Deportivo Pereira - Cucuta Deportivo,20:30,2.45,3.14,2.97,https://www.pinnacle.com/en/soccer/colombia-primera-a/matchups/
Junior de Barranquilla - Atletico Bucaramanga,23:00,2.19,2.77,4.07,https://www.pinnacle.com/en/soccer/colombia-primera-a/matchups/
Fortaleza CEIF - Deportivo Pasto,01:00,2.25,2.91,3.67,https://www.pinnacle.com/en/soccer/colombia-primera-a/matchups/
America de Cali - Llaneros,01:00,1.537,3.71,6.72,https://www.pinnacle.com/en/soccer/colombia-primera-a/matchups/
Jendouba Sport - Sfax Railway Sport,12:30,2.19,2.34,4.26,https://www.pinnacle.com/en/soccer/tunisia-cup/matchups/
AS Soliman - Stade Tunisien,12:30,6.48,2.76,1.662,https://www.pinnacle.com/en/soccer/tunisia-cup/matchups/
JS Kairouanaise - CS Sfaxien,12:30,4.89,3.13,1.68,https://www.pinnacle.com/en/soccer/tunisia-cup/matchups/
CS M'saken - Ben Guerdane,12:30,3.48,2.43,2.39,https://www.pinnacle.com/en/soccer/tunisia-cup/matchups/
Progres Sakiet Eddaier - Flambeau Sportif de Sahline,12:30,1.478,3.58,6.14,https://www.pinnacle.com/en/soccer/tunisia-cup/matchups/
US Monastir - Club Africain,12:30,3.84,2.48,2.2,https://www.pinnacle.com/en/soccer/tunisia-cup/matchups/
ES Zarzis - Korba,12:30,1.684,2.59,7.3,https://www.pinnacle.com/en/soccer/tunisia-cup/matchups/
CA Bizertin - AS Marsa,12:30,2.28,2.74,3.18,https://www.pinnacle.com/en/soccer/tunisia-cup/matchups/
Burgos - Cordoba,13:00,2.37,3.06,3.53,https://www.pinnacle.com/en/soccer/spain-segunda-division/matchups/
Real Sociedad II - Granada,15:15,2.8,3.14,2.81,https://www.pinnacle.com/en/soccer/spain-segunda-division/matchups/
Mirandes - Real Valladolid,15:15,3.08,3.04,2.63,https://www.pinnacle.com/en/soccer/spain-segunda-division/matchups/
Las Palmas - Sporting Gijon,17:30,1.884,3.59,4.44,https://www.pinnacle.com/en/soccer/spain-segunda-division/matchups/
Castellon - Cultural Leonesa,19:30,1.354,5.28,7.71,https://www.pinnacle.com/en/soccer/spain-segunda-division/matchups/
Ceuta - Cadiz,13:00,2.19,3.31,3.43,https://www.pinnacle.com/en/soccer/spain-segunda-division/matchups/
Malaga - Leganes,17:30,2.07,3.36,3.73,https://www.pinnacle.com/en/soccer/spain-segunda-division/matchups/
Athletico Paranaense - Coritiba,19:00,1.98,3.28,4.47,https://www.pinnacle.com/en/soccer/brazil-serie-a/matchups/
Cruzeiro - Santos,19:00,1.724,3.72,5.34,https://www.pinnacle.com/en/soccer/brazil-serie-a/matchups/
Vasco da Gama - Gremio,19:00,1.909,3.45,4.54,https://www.pinnacle.com/en/soccer/brazil-serie-a/matchups/
Remo - Bahia,19:00,3.61,3.22,2.24,https://www.pinnacle.com/en/soccer/brazil-serie-a/matchups/
Vitoria - Mirassol,21:30,2.71,3.1,2.91,https://www.pinnacle.com/en/soccer/brazil-serie-a/matchups/
Internacional - Chapecoense,21:30,1.411,4.96,7.94,https://www.pinnacle.com/en/soccer/brazil-serie-a/matchups/
Corinthians - Flamengo,23:30,3.48,3.24,2.26,https://www.pinnacle.com/en/soccer/brazil-serie-a/matchups/
Juventud - Albion,13:00,2.31,3.02,3.53,https://www.pinnacle.com/en/soccer/uruguay-primera-division/matchups/
CA Progreso - Boston River,19:00,2.99,2.93,2.69,https://www.pinnacle.com/en/soccer/uruguay-primera-division/matchups/
Deportivo Maldonado - Montevideo City Torque,17:00,2.64,3.07,2.8,https://www.pinnacle.com/en/soccer/uruguay-primera-division/matchups/
Liverpool Montevideo - Central Espanol,20:00,1.781,3.51,4.53,https://www.pinnacle.com/en/soccer/uruguay-primera-division/matchups/
Nacional de Football - Cerro Largo,23:30,1.462,4.25,6.63,https://www.pinnacle.com/en/soccer/uruguay-primera-division/matchups/
Danubio - Defensor Sporting,19:00,2.61,3.03,2.85,https://www.pinnacle.com/en/soccer/uruguay-primera-division/matchups/
Trujillanos - Zamora,20:30,2.58,3.11,2.67,https://www.pinnacle.com/en/soccer/venezuela-primera-division/matchups/
Deportivo Tachira - Estudiantes de Merida,21:30,1.421,4.41,6.48,https://www.pinnacle.com/en/soccer/venezuela-primera-division/matchups/
Portuguesa - Rayo Zuliano,22:30,1.578,3.73,5.45,https://www.pinnacle.com/en/soccer/venezuela-primera-division/matchups/
Monagas - Caracas,23:30,2.33,3.45,2.74,https://www.pinnacle.com/en/soccer/venezuela-primera-division/matchups/
Carabobo - Academia Puerto Cabello,22:00,2.26,2.85,3.44,https://www.pinnacle.com/en/soccer/venezuela-primera-division/matchups/
Metropolitanos - Anzoategui,23:00,1.943,3.05,4.12,https://www.pinnacle.com/en/soccer/venezuela-primera-division/matchups/
Sudtirol - Frosinone,14:00,3.33,3.2,2.38,https://www.pinnacle.com/en/soccer/italy-serie-b/matchups/
Empoli - Pescara,14:00,2.08,3.59,3.65,https://www.pinnacle.com/en/soccer/italy-serie-b/matchups/
Bari - Carrarese,14:00,3.13,2.97,2.65,https://www.pinnacle.com/en/soccer/italy-serie-b/matchups/
Sampdoria - Avellino,16:15,2.24,2.9,4.11,https://www.pinnacle.com/en/soccer/italy-serie-b/matchups/
Virtus Entella - Reggiana,18:30,1.99,3.21,4.52,https://www.pinnacle.com/en/soccer/italy-serie-b/matchups/
FC Nordsjaelland - Sonderjyske,13:00,2.18,3.78,3.23,https://www.pinnacle.com/en/soccer/denmark-superliga/matchups/
Randers - Silkeborg,13:00,1.833,3.63,4.66,https://www.pinnacle.com/en/soccer/denmark-superliga/matchups/
FC Copenhagen - Fredericia,15:00,1.34,5.94,8.1,https://www.pinnacle.com/en/soccer/denmark-superliga/matchups/
AGF - Brondby,17:00,1.724,3.94,4.95,https://www.pinnacle.com/en/soccer/denmark-superliga/matchups/
Viborg - Midtjylland,19:00,3.36,3.78,2.12,https://www.pinnacle.com/en/soccer/denmark-superliga/matchups/
Kariobangi Sharks 0 - Kariobangi Sharks,First Half - 5',1.833,2.93,4.39,https://www.pinnacle.com/en/soccer/kenya-premier-league/matchups/
Kariobangi Sharks (1st Half)0 - Kariobangi Sharks (1st Half),First Half - 5',2.72,1.769,5.29,https://www.pinnacle.com/en/soccer/kenya-premier-league/matchups/
Kakamega Homeboyz - Bandari,11:00,1.847,2.89,4.58,https://www.pinnacle.com/en/soccer/kenya-premier-league/matchups/
Nairobi United - Ulinzi Stars,12:00,1.97,2.86,4.07,https://www.pinnacle.com/en/soccer/kenya-premier-league/matchups/
Muranga Seal - Mathare United,12:00,2.18,2.79,3.44,https://www.pinnacle.com/en/soccer/kenya-premier-league/matchups/
Leopards - Tusker,13:00,1.9,2.77,4.2,https://www.pinnacle.com/en/soccer/kenya-premier-league/matchups/
New York City - Inter Miami,17:00,2.44,3.53,2.94,https://www.pinnacle.com/en/soccer/usa-major-league-soccer/matchups/
FC Cincinnati - CF Montreal,17:00,1.719,4.09,4.77,https://www.pinnacle.com/en/soccer/usa-major-league-soccer/matchups/
Minnesota United - Seattle Sounders,18:30,2.66,3.41,2.74,https://www.pinnacle.com/en/soccer/usa-major-league-soccer/matchups/
Portland Timbers - Los Angeles Galaxy,20:45,2.25,3.78,3.08,https://www.pinnacle.com/en/soccer/usa-major-league-soccer/matchups/
San Diego FC - Real Salt Lake,23:00,1.8,3.95,4.28,https://www.pinnacle.com/en/soccer/usa-major-league-soccer/matchups/
NEC Nijmegen - Heerenveen,11:15,1.704,4.49,4.42,https://www.pinnacle.com/en/soccer/netherlands-eredivisie/matchups/
